office_id,source_name,kprk_id,ordinal,slug
33400,Tanjungpandan,33400,162,tanjungpandan-33400
33462,Gantung,33400,163,gantung-33462
34100,Metro,34100,164,metro-34100
34163,Bandaragung,34100,165,bandaragung-34163
34181,Batanghari,34100,166,batanghari-34181
34500,Kotabumi,34500,167,kotabumi-34500
34566,Banjit,34500,168,banjit-34566
34572,Kenali,34500,169,kenali-34572
34574,Krui,34500,170,krui-34574
34592,Dayamurni,34500,171,dayamurni-34592
34595,Dwiwargatunggaljaya,34500,172,dwiwargatunggaljaya-34595
34598,Simpangpematang,34500,173,simpangpematang-34598
35000,Bandarlampung,35000,174,bandarlampung-35000
35371,Gedongtataan,35000,175,gedongtataan-35371
35372,Gadingrejo,35000,176,gadingrejo-35372
35376,Ambarawalampung,35000,177,ambarawalampung-35376
35378,Gisting,35000,178,gisting-35378
35592,Bakauheni,35000,179,bakauheni-35592
36000,Jambi,36000,180,jambi-36000
36371,Kumpeh,36000,181,kumpeh-36371
36500,Kualatungkal,36000,182,kualatungkal-36500
36563,Dendang,36000,183,dendang-36563
36652,Bajubang,36000,184,bajubang-36652
37100,Sungaipenuh,37100,185,sungaipenuh-37100
37171,Hiang,37100,186,hiang-37171
37200,Muarabungo,37200,187,muarabungo-37200
37256,Alaiilir,37200,188,alaiilir-37256
37300,Bangko,37200,189,bangko-37300
37383,Limun,37200,190,limun-37383
38000,Bengkulu,38000,191,bengkulu-38000
38367,Lubukpinang,38000,192,lubukpinang-38367
38381,Airsebakul,38000,193,airsebakul-38381
38557,Kedurang,38000,194,kedurang-38557
38563,Bintuhan,38000,195,bintuhan-38563
38577,Cahayanegeri,38000,196,cahayanegeri-38577
38600,Argamakmur,38000,197,argamakmur-38600
39100,Curup,39100,198,curup-39100
39164,Muaraaman,39100,199,muaraaman-39164
39172,Kepahiang,39100,200,kepahiang-39172
40000,Bandung,40000,201,bandung-40000
40100,Ujungberung,40100,202,ujungberung-40100
40500,Cimahi,40500,203,cimahi-40500
40900,Soreang,40900,204,soreang-40900
41100,Purwakarta,41100,205,purwakarta-41100
41200,Subang,41200,206,subang-41200
41300,Karawang,41300,207,karawang-41300
42100,Serang,42100,208,serang-42100
42173,Baros,42100,209,baros-42173
42200,Pandeglang,42200,210,pandeglang-42200
42300,Rangkasbitung,42300,211,rangkasbitung-42300
42400,Cilegon,42400,212,cilegon-42400
43100,Sukabumi,43100,213,sukabumi-43100
43171,Bojonglopang,43100,214,bojonglopang-43171
43200,Cianjur,43200,215,cianjur-43200
44100,Garut,44100,216,garut-44100
45100,Cirebon,45100,217,cirebon-45100
45162,Arjawinangun,45100,218,arjawinangun-45162
45200,Indramayu,45200,219,indramayu-45200
45300,Sumedang,45300,220,sumedang-45300
45400,Majalengka,45400,221,majalengka-45400
45500,Kuningan,45500,222,kuningan-45500
46100,Tasikmalaya,46100,223,tasikmalaya-46100
46187,Bantarkalong,46100,224,bantarkalong-46187
46200,Ciamis,46200,225,ciamis-46200
46300,Banjar,46300,226,banjar-46300
46394,Cijulang,46300,227,cijulang-46394
50000,Semarang,50000,228,semarang-50000
50500,Ungaran,50500,229,ungaran-50500
50700,Salatiga,50700,230,salatiga-50700
51100,Pekalongan,51100,231,pekalongan-51100
51156,Bojongpekalongan,51100,232,bojongpekalongan-51156
51254,Bandarsidayu,51100,233,bandarsidayu-51254
51300,Kendal,51300,234,kendal-51300
52100,Tegal,52100,235,tegal-52100
52194,Adiwerna,52100,236,adiwerna-52194
52200,Brebes,52200,237,brebes-52200
52300,Pemalang,52300,238,pemalang-52300
53100,Purwokerto,53100,239,purwokerto-53100
53200,Cilacap,53200,240,cilacap-53200
53300,Purbalingga,53300,241,purbalingga-53300
53400,Banjarnegara,53400,242,banjarnegara-53400
54100,Purworejo,54100,243,purworejo-54100
54300,Kebumen,54300,244,kebumen-54300
55000,Yogyakarta,55000,245,yogyakarta-55000
55197,Banguntapan,55000,246,banguntapan-55197
55573,Berbah,55000,247,berbah-55573
55600,Watesyogya,55600,248,watesyogya-55600
55700,Bantul,55700,249,bantul-55700
55800,Wonosariyogya,55800,250,wonosariyogya-55800
56100,Magelang,56100,251,magelang-56100
56151,Bandongan,56100,252,bandongan-56151
56200,Temanggung,56200,253,temanggung-56200
56300,Wonosobo,56300,254,wonosobo-56300
57100,Solo,57100,255,solo-57100
57200,Sragen,57200,256,sragen-57200
57300,Boyolali,57300,257,boyolali-57300
57400,Klaten,57400,258,klaten-57400
57500,Sukoharjo,57500,259,sukoharjo-57500
57600,Wonogiri,57600,260,wonogiri-57600
57700,Karanganyar,57700,261,karanganyar-57700
58100,Purwodadigrobogan,58100,262,purwodadigrobogan-58100
58200,Blora,58200,263,blora-58200
59100,Pati,59100,264,pati-59100
59255,Bulu,59100,265,bulu-59255
59300,Kudus,59300,266,kudus-59300
59400,Jepara,59400,267,jepara-59400
59455,Karimunjawa,59400,268,karimunjawa-59455
59500,Demak,50000,269,demak-59500
60000,Surabaya,60000,270,surabaya-60000
60300,Surabayaselatan,60300,271,surabayaselatan-60300
61100,Gresik,61100,272,gresik-61100
61181,Bawean,61100,273,bawean-61181
61200,Sidoarjo,61200,274,sidoarjo-61200
61300,Mojokerto,61300,275,mojokerto-61300
61381,Bangsal,61300,276,bangsal-61381
61400,Jombang,61400,277,jombang-61400
62100,Bojonegoro,62100,278,bojonegoro-62100
62200,Lamongan,62200,279,lamongan-62200
62300,Tuban,62300,280,tuban-62300
63100,Madiun,63100,281,madiun-63100
63152,Balerejo,63100,282,balerejo-63152
63200,Ngawi,63200,283,ngawi-63200
63300,Magetan,63300,284,magetan-63300
63400,Ponorogo,63400,285,ponorogo-63400
63581,Arjosari,63400,286,arjosari-63581
64100,Kediri,64100,287,kediri-64100
64221,Badas,64100,288,badas-64221
64400,Nganjuk,64400,289,nganjuk-64400
65100,Malang,65100,290,malang-65100
65183,Ampelgading,65100,291,ampelgading-65183
65311,Batu,65100,292,batu-65311
66100,Blitar,66100,293,blitar-66100
66200,Tulungagung,66200,294,tulungagung-66200
66363,Dongko,66200,295,dongko-66363
67100,Pasuruan,67100,296,pasuruan-67100
67153,Bangil,67100,297,bangil-67153
67200,Probolinggo,67200,298,probolinggo-67200
67261,Bantaran,67200,299,bantaran-67261
67300,Lumajang,67300,300,lumajang-67300
68100,Jember,68100,301,jember-68100
68200,Bondowoso,68200,302,bondowoso-68200
68300,Situbondo,68300,303,situbondo-68300
68400,Banyuwangi,68400,304,banyuwangi-68400
69100,Bangkalan,69100,305,bangkalan-69100
69263,Banyuates,69100,306,banyuates-69263
69300,Pamekasan,69300,307,pamekasan-69300
69400,Sumenep,69400,308,sumenep-69400
69482,Giligenting,69400,309,giligenting-69482
69483,Gayam,69400,310,gayam-69483
69485B1,Raas,69400,311,raas-69485b1
69491,Arjasa,69400,312,arjasa-69491
69492,Masalembu,69400,313,masalembu-69492
69493,Sapeken,69400,314,sapeken-69493
70000,Banjarmasin,70000,315,banjarmasin-70000
70564,Anjirmuara,70000,316,anjirmuara-70564
70655,Aluhaluh,70700,317,aluhaluh-70655
70700,Banjarbaru,70700,318,banjarbaru-70700
70852,Batibati,70700,319,batibati-70852
71183,Binuang,71200,320,binuang-71183
71200,Kandangan,71200,321,kandangan-71200
71300,Barabai,71400,322,barabai-71300
71400,Amuntai,71400,323,amuntai-71400
71572,Haruai,71400,324,haruai-71572
71664,Awayan,71400,325,awayan-71664
72152,Berangaskotabaru,72200,326,berangaskotabaru-72152
72200,Batulicin,72200,327,batulicin-72200
73000,Palangkaraya,73000,328,palangkaraya-73000
73572,Bahaur,73000,329,bahaur-73572
73581,Anjirserapat,73000,330,anjirserapat-73581
73600,Tamianglayang,73700,331,tamianglayang-73600
73652,Ampah,73700,332,ampah-73652
73700,Buntok,73700,333,buntok-73700
73752,Pendang,73700,334,pendang-73752
